,Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions",Notes,pull_date
399,28 Nov 2023,788,,2024-12-18
400,29 Nov 2023,796,,2024-12-18
401,30 Nov 2023,750,,2024-12-18
402,1 Dec 2023,682,,2024-12-18
403,2 Dec 2023,621,,2024-12-18
404,3 Dec 2023,588,,2024-12-18
405,4 Dec 2023,711,,2024-12-18
406,5 Dec 2023,654,,2024-12-18
407,6 Dec 2023,528,,2024-12-18
408,7 Dec 2023,557,,2024-12-18
409,8 Dec 2023,603,Roll-out of release: Started roll-out of 60 (1.5.0) at 100%.,2024-12-18
410,9 Dec 2023,521,,2024-12-18
411,10 Dec 2023,460,,2024-12-18
412,11 Dec 2023,563,,2024-12-18
413,12 Dec 2023,525,,2024-12-18
414,13 Dec 2023,590,,2024-12-18
415,14 Dec 2023,716,,2024-12-18
416,15 Dec 2023,653,,2024-12-18
417,16 Dec 2023,692,,2024-12-18
418,17 Dec 2023,730,,2024-12-18
419,18 Dec 2023,754,,2024-12-18
420,19 Dec 2023,904,,2024-12-18
421,20 Dec 2023,773,,2024-12-18
422,21 Dec 2023,793,,2024-12-18
423,22 Dec 2023,795,,2024-12-18
424,23 Dec 2023,790,,2024-12-18
425,24 Dec 2023,867,,2024-12-18
426,25 Dec 2023,844,,2024-12-18
427,26 Dec 2023,808,,2024-12-18
428,27 Dec 2023,827,,2024-12-18
429,28 Dec 2023,792,,2024-12-18
430,29 Dec 2023,678,,2024-12-18
431,30 Dec 2023,723,,2024-12-18
432,31 Dec 2023,922,,2024-12-18
433,1 Jan 2024,848,,2024-12-18
434,2 Jan 2024,885,,2024-12-18
435,3 Jan 2024,859,,2024-12-18
436,4 Jan 2024,839,,2024-12-18
437,5 Jan 2024,729,Roll-out of release: Started roll-out of 61 (1.6.0) at 20%.,2024-12-18
438,6 Jan 2024,"1,336",,2024-12-18
439,7 Jan 2024,963,Roll-out of release: Increased roll-out of 61 (1.6.0) to 100%.,2024-12-18
440,8 Jan 2024,429,Roll-out of release: Started roll-out of 62 (1.6.1) at 100%.,2024-12-18
441,9 Jan 2024,552,,2024-12-18
442,10 Jan 2024,842,,2024-12-18
443,11 Jan 2024,643,,2024-12-18
444,12 Jan 2024,607,,2024-12-18
445,13 Jan 2024,716,,2024-12-18
446,14 Jan 2024,740,,2024-12-18
447,15 Jan 2024,716,,2024-12-18
448,16 Jan 2024,703,,2024-12-18
449,17 Jan 2024,691,,2024-12-18
450,18 Jan 2024,674,,2024-12-18
451,19 Jan 2024,682,Roll-out of release: Started roll-out of 63 (1.6.2) at 100%.,2024-12-18
452,20 Jan 2024,784,,2024-12-18
453,21 Jan 2024,771,,2024-12-18
454,22 Jan 2024,"1,002",,2024-12-18
455,23 Jan 2024,897,,2024-12-18
456,24 Jan 2024,908,,2024-12-18
457,25 Jan 2024,"1,048",,2024-12-18
458,26 Jan 2024,"1,051",,2024-12-18
459,27 Jan 2024,"1,268",,2024-12-18
460,28 Jan 2024,"1,232",,2024-12-18
461,29 Jan 2024,"1,081",,2024-12-18
462,30 Jan 2024,"1,906",,2024-12-18
463,31 Jan 2024,"2,204",,2024-12-18
464,1 Feb 2024,566,,2024-12-18
465,2 Feb 2024,966,,2024-12-18
466,3 Feb 2024,"1,140",,2024-12-18
467,4 Feb 2024,"1,018",,2024-12-18
468,5 Feb 2024,938,Roll-out of release: Started roll-out of 64 (1.6.3) at 100%.,2024-12-18
469,6 Feb 2024,942,,2024-12-18
470,7 Feb 2024,"1,015",,2024-12-18
471,8 Feb 2024,948,,2024-12-18
472,9 Feb 2024,961,,2024-12-18
473,10 Feb 2024,728,,2024-12-18
474,11 Feb 2024,955,,2024-12-18
475,12 Feb 2024,912,,2024-12-18
476,13 Feb 2024,927,,2024-12-18
477,14 Feb 2024,949,,2024-12-18
478,15 Feb 2024,935,,2024-12-18
479,16 Feb 2024,937,,2024-12-18
480,17 Feb 2024,993,,2024-12-18
481,18 Feb 2024,957,,2024-12-18
482,19 Feb 2024,985,,2024-12-18
483,20 Feb 2024,"1,030",,2024-12-18
484,21 Feb 2024,"1,161",,2024-12-18
485,22 Feb 2024,"1,138",,2024-12-18
486,23 Feb 2024,911,Roll-out of release: Started roll-out of 65 (1.6.4) at 20%. Roll-out of release: Increased roll-out of 65 (1.6.4) to 100%.,2024-12-18
487,24 Feb 2024,947,,2024-12-18
488,25 Feb 2024,834,,2024-12-18
489,26 Feb 2024,870,,2024-12-18
490,27 Feb 2024,"1,007",,2024-12-18
491,28 Feb 2024,"1,143",,2024-12-18
492,29 Feb 2024,"1,230",,2024-12-18
493,1 Mar 2024,844,,2024-12-18
494,2 Mar 2024,591,,2024-12-18
495,3 Mar 2024,686,,2024-12-18
496,4 Mar 2024,986,,2024-12-18
497,5 Mar 2024,979,,2024-12-18
498,6 Mar 2024,"1,154",,2024-12-18
499,7 Mar 2024,"1,044",,2024-12-18
500,8 Mar 2024,"1,065",,2024-12-18
501,9 Mar 2024,"1,036",Roll-out of release: Started roll-out of 66 (1.6.5) at 100%.,2024-12-18
502,10 Mar 2024,985,,2024-12-18
503,11 Mar 2024,"1,163",,2024-12-18
504,12 Mar 2024,942,,2024-12-18
505,13 Mar 2024,747,,2024-12-18
506,14 Mar 2024,824,,2024-12-18
507,15 Mar 2024,"1,161",Roll-out of release: Started roll-out of 67 (1.6.5) at 20%.,2024-12-18
508,16 Mar 2024,"1,097",Roll-out of release: Halted roll-out of 67 (1.6.5).,2024-12-18
