,Category,Keywords,Search Vol,Backlinks,19-3-2023,26-3-2023,2-4-2023,9-4-2023,16-4-2023,23-4-2023,30-4-2023,7-5-2023,14-5-2023,21-5-2023,28-5-2023,4-6-2023,11-6-2023,18-6-2023,25-6-2023,2-7-2023,9-7-2023,16-7-2023,23-7-2023,30-7-2023,6-8-2023,13-8-2023,20-8-2023,27-8-2023,3-9-2023,10-9-2023,17-9-2023,24-9-2023,1-10-2023,8-10-2023,15-10-2023,22-10-2023,29-10-2023,5-11-2023,12-11-2023,19-11-2023,26-11-2023,3-12-2023,10-12-2023,17-12-2023,24-12-2023,31-12-2023,7-1-2024,14-1-2024,21-1-2024,28-1-2024,4-2-2024,11-2-2024,18-2-2024,25-2-2024,3-3-2024,10-3-2024,17-3-2024,24-3-2024,31-3-2024,7-4-2024,14-4-2024,21-4-2024,28-4-2024,5-5-2024,12-5-2024,19-5-2024,26-5-2024,2-6-2024,9-6-2024,16-6-2024,23-6-2024,30-6-2024,7-7-2024,14-7-2024,21-7-2024,28-7-2024,4-8-2024,11-8-2024,18-8-2024,25-8-2024,1-9-2024,8-9-2024,15-9-2024,22-9-2024,29-9-2024,6-10-2024,13-10-2024,20-10-2024,27-10-2024,3-11-2024,10-11-2024,17-11-2024,24-11-2024,1-12-2024,8-12-2024,Landing Page,pull_date
35,horor,novel horor,"2,900","Blogger Mei (6), Blogger Jul (9), Blogger Okt (6), Media Nov (3)",-,-,-,,,,,-,-,-,28,22,29,16,15,19,15,11,10,11,30,17,11,10,14,9,23,13,54,52,27,27,21,28,24,28,24,19,17,23,11,12,12,12,11,11,11,12,12,12,12,13,14,15,14,26,21,14,14,14,10,13,11,13,6,6,6,6,6,6,15,6,5,4,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,https://gooddreamer.id/novel_horor,2024-12-18
36,horor,novel horor terbaik,590,"Blogger Juni (6), Media Mar (4)",-,-,-,,,,,25,-,24,26,23,22,22,24,23,23,19,17,19,22,14,19,15,19,14,23,17,30,27,20,9,14,17,12,16,13,15,13,15,11,13,11,8,10,12,15,12,16,14,12,12,14,16,17,19,21,17,18,23,22,23,21,13,12,12,11,10,12,13,13,13,10,10,9,7,8,9,7,8,8,10,6,5,8,7,5,5,5,7,5,https://gooddreamer.id/novel_horor,2024-12-18
37,horor,buku novel horor,140,,-,-,-,,,,,75,-,-,-,40,53,57,36,77,45,32,33,31,38,26,39,29,31,31,97,30,21,46,38,29,31,32,22,31,23,27,22,30,23,20,21,19,22,22,24,23,22,21,22,24,19,25,25,24,21,19,21,22,21,20,18,20,17,17,13,6,13,14,17,16,17,10,6,6,8,9,6,6,8,9,9,8,16,7,5,8,9,10,6,https://gooddreamer.id/novel_horor,2024-12-18
38,horor,baca novel horor,90,,-,-,-,,,,,10,-,12,10,9,11,9,5,9,6,6,4,3,5,4,6,5,5,5,5,5,5,5,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_horor,2024-12-18
39,horor,novel horor best seller,110,,-,-,-,,,,,-,22,26,19,18,18,18,14,19,17,19,15,16,18,13,17,16,14,16,20,18,22,19,17,18,15,15,15,17,19,20,24,15,12,12,7,10,8,9,8,11,10,9,1,8,8,11,12,14,15,13,14,15,9,14,13,12,9,10,9,6,10,8,9,11,10,9,6,5,5,7,8,9,9,10,8,7,8,8,5,6,6,7,6,https://gooddreamer.id/novel_horor,2024-12-18
40,thriller,novel thriller,480,"Blogger Mei (6), Blogger Des (7), Media Des (2)",-,-,-,,,,,-,55,39,37,39,38,42,35,41,38,36,30,28,38,24,31,35,41,37,34,30,27,26,23,22,20,24,25,29,13,28,26,16,29,31,12,27,15,15,15,15,16,30,28,25,27,28,12,13,14,25,19,17,17,13,26,19,22,15,16,16,21,16,15,18,15,16,17,6,7,8,8,7,9,8,9,9,8,10,17,18,9,10,10,https://gooddreamer.id/novel_thriller,2024-12-18
41,thriller,novel thriller psikologi,50,,-,-,-,,,,,-,18,22,24,25,27,31,16,22,17,20,28,31,38,30,19,29,32,31,30,30,18,30,29,16,19,24,18,22,17,24,18,20,25,15,18,24,23,21,24,22,18,16,17,14,17,19,20,24,26,26,23,24,24,24,31,29,27,28,27,15,27,13,12,13,13,11,10,10,10,9,9,8,9,9,8,9,10,8,8,8,9,6,8,https://gooddreamer.id/novel_thriller,2024-12-18
42,thriller,novel psikologi thriller,40,,-,-,-,,,,,21,17,22,21,22,23,26,29,38,29,25,19,20,37,22,22,26,29,28,34,24,14,28,25,16,16,18,18,15,15,18,18,19,20,11,17,20,21,19,20,20,16,17,16,15,15,16,20,21,23,29,26,27,26,25,31,30,29,33,26,16,32,24,25,15,12,12,12,11,11,9,9,10,9,9,10,9,8,20,20,10,10,7,9,https://gooddreamer.id/novel_thriller,2024-12-18
43,thriller,novel thriller online,10,,-,-,-,,,,,-,4,4,3,3,3,3,3,3,3,3,4,4,2,3,2,5,6,4,6,2,2,2,2,2,3,2,3,3,2,2,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_thriller,2024-12-18
44,thriller,baca novel thriller,-,,-,-,-,,,,,-,11,6,6,6,5,8,6,6,6,6,9,6,9,9,6,7,7,7,6,6,6,6,6,6,6,6,6,6,5,4,2,2,2,2,2,3,2,2,2,3,3,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_thriller,2024-12-18
45,action,novel action,320,Blogger Sept (10),-,-,-,,,,,-,-,15,15,15,15,12,13,21,27,25,22,19,26,12,19,20,18,19,31,13,23,24,11,12,13,9,6,6,5,5,4,3,3,3,4,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://gooddreamer.id/novel_action,2024-12-18
46,action,novel action terbaik,110,,-,-,-,,,,,-,-,19,-,17,18,13,16,18,22,23,28,13,12,11,11,15,16,17,22,16,14,13,14,12,12,8,7,7,5,5,4,4,2,3,3,3,4,3,3,2,3,1,3,1,1,2,1,2,2,2,2,3,2,3,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,https://gooddreamer.id/novel_action,2024-12-18
47,action,baca novel action,-,,-,-,-,,,,,76,6,4,5,5,4,3,3,6,6,7,7,8,6,5,6,5,7,6,6,6,5,5,4,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,2,3,3,5,4,4,5,4,3,3,3,4,4,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,https://gooddreamer.id/novel_action,2024-12-18
