,Date,Total Downloads,pull_date
516,10/20/24,3,2024-12-18
517,10/21/24,9,2024-12-18
518,10/22/24,8,2024-12-18
519,10/23/24,10,2024-12-18
520,10/24/24,14,2024-12-18
521,10/25/24,7,2024-12-18
522,10/26/24,7,2024-12-18
523,10/27/24,4,2024-12-18
524,10/28/24,7,2024-12-18
525,10/29/24,3,2024-12-18
526,10/30/24,5,2024-12-18
527,10/31/24,6,2024-12-18
528,11/1/24,3,2024-12-18
529,11/2/24,0,2024-12-18
530,11/3/24,1,2024-12-18
531,11/4/24,0,2024-12-18
532,11/5/24,0,2024-12-18
533,11/6/24,2,2024-12-18
534,11/7/24,2,2024-12-18
535,11/8/24,2,2024-12-18
536,11/9/24,1,2024-12-18
537,11/10/24,1,2024-12-18
538,11/11/24,3,2024-12-18
539,11/12/24,2,2024-12-18
540,11/13/24,3,2024-12-18
541,11/14/24,0,2024-12-18
542,11/15/24,3,2024-12-18
543,11/16/24,4,2024-12-18
544,11/17/24,3,2024-12-18
545,11/18/24,4,2024-12-18
546,11/19/24,2,2024-12-18
547,11/20/24,3,2024-12-18
548,11/21/24,2,2024-12-18
549,11/22/24,0,2024-12-18
550,11/23/24,3,2024-12-18
551,11/24/24,0,2024-12-18
552,11/25/24,1,2024-12-18
553,11/26/24,4,2024-12-18
554,11/27/24,0,2024-12-18
555,11/28/24,1,2024-12-18
556,11/29/24,1,2024-12-18
557,11/30/24,2,2024-12-18
558,12/1/24,3,2024-12-18
559,12/2/24,2,2024-12-18
560,12/3/24,3,2024-12-18
561,12/4/24,1,2024-12-18
562,12/5/24,3,2024-12-18
563,12/6/24,2,2024-12-18
564,12/7/24,1,2024-12-18
565,12/8/24,1,2024-12-18
566,12/9/24,0,2024-12-18
567,12/10/24,2,2024-12-18
568,12/11/24,2,2024-12-18
569,12/12/24,1,2024-12-18
570,12/13/24,1,2024-12-18
571,12/14/24,4,2024-12-18
572,12/15/24,1,2024-12-18
573,12/16/24,2,2024-12-18
